Time,Data
5140000,0
10260000,0
15380000,0
20500000,2644
25620000,34225
30740000,94133
35860000,152959
40980000,205683
46100000,250046
51220000,284380
56340000,307226
61460000,317731
66580000,315391
71700000,300360
76820000,273240
81940000,235101
87060000,187486
92180000,132280
97300000,71857
102420000,8428
107540000,-55299
112660000,-116799
117780000,-173586
122900000,-223378
128020000,-264190
133140000,-294340
138260000,-312644
143380000,-318326
148500000,-311240
153620000,-291584
158740000,-260155
163860000,-218232
168980000,-167568
174100000,-110148
179220000,-48176
184340000,15521
189460000,78724
194580000,138731
199700000,193209
204820000,239833
209940000,276827
215060000,302644
220180000,316299
225300000,317181
230420000,305283
235540000,281101
240660000,245594
245780000,200183
250900000,146662
256020000,87337
261140000,24427
266260000,-39491
271380000,-101760
276500000,-159971
281620000,-211691
286740000,-254930
291860000,-287877
296980000,-309225
302100000,-318114
307220000,-314194
312340000,-297652
317460000,-269050
322580000,-229609
327700000,-180943
332820000,-125027
337940000,-63947
343060000,-429
348180000,63107
353300000,124163
358420000,180236
363540000,229021
368660000,268569
373780000,297304
378900000,314063
384020000,318170
389140000,309436
394260000,288253
399380000,255466
404500000,212366
409620000,160687
414740000,102589
419860000,40357
424980000,-23571
430100000,-86468
435220000,-145953
440340000,-199467
445460000,-245028
450580000,-280686
455700000,-305022
460820000,-317102
465940000,-316354
471060000,-302967
476180000,-277263
481300000,-240408
486420000,-193866
491540000,-139582
496660000,-79560
501780000,-16381
506900000,47333
512020000,109285
517140000,166809
522260000,217628
527380000,259634
532500000,291210
537620000,311037
542740000,318354
547860000,312807
552980000,294679
558100000,264688
563220000,224015
568340000,174309
573460000,117580
578580000,56181
583700000,-7584
588820000,-70970
593940000,-131544
599060000,-186762
604180000,-234499
609300000,-272784
614420000,-300059
619540000,-315275
624660000,-317732
629780000,-307501
634900000,-284780
640020000,-250599
645140000,-206306
650260000,-153771
655380000,-94982
660500000,-32294
665620000,31441
670740000,94133
675860000,152959
680980000,205683
686100000,250046
691220000,284380
696340000,307226
701460000,317731
706580000,315391
711700000,300360
716820000,273240
721940000,235101
727060000,187486
732180000,132280
737300000,71857
742420000,8428
747540000,-55299
752660000,-116799
757780000,-173586
762900000,-223378
768020000,-264190
773140000,-294340
778260000,-312644
783380000,-318326
788500000,-311240
793620000,-291584
798740000,-260155
803860000,-218232
808980000,-167568
814100000,-110148
819220000,-48176
824340000,15521
829460000,78724
834580000,138731
839700000,193209
844820000,239833
849940000,276827
855060000,302644
860180000,316299
865300000,317181
870420000,305283
875540000,281101
880660000,245594
885780000,200183
890900000,146662
896020000,87337
901140000,24427
906260000,-39491
911380000,-101760
916500000,-159971
921620000,-211691
926740000,-254930
931860000,-287877
936980000,-309225
942100000,-318114
947220000,-314194
952340000,-297652
957460000,-269050
962580000,-229609
967700000,-180943
972820000,-125027
977940000,-63947
983060000,-429
988180000,63107
993300000,124163
998420000,180236
1003540000,229021
1008660000,268569
1013780000,297304
1018900000,314063
1024020000,318170
1029140000,309436
1034260000,288253
1039380000,255466
